cluster_id,centroid_x,centroid_y,n_transcripts,n_genes_unique,radius_um,top_genes,inferred_type,marker_confidence,nuclear_score,nearest_cell_dist
525,5449.2,4675.7,78,49,15.4,"MBP(10), CAMK2N1(4), HLA-B(3), ITM2A(3), KIF5A(3)",Endothelial,0.051,0.4551,27.4
526,5298.3,4950.8,265,93,31.4,"CAMK2N1(14), KIF5A(14), HSPA8(13), KIF1A(12), MBP(11)",Oligodendrocyte,0.045,0.4256,10.6
527,5348.2,4743.7,190,78,23.6,"CAMK2N1(14), MBP(14), NEFL(13), KIF5A(12), CCNI(11)",Oligodendrocyte,0.074,0.4196,21.9
528,5419.3,4941.4,348,118,32.6,"MBP(18), CAMK2N1(17), HSPA8(15), KIF1A(12), KIF5A(12)",Oligodendrocyte,0.066,0.4473,25.8
529,5435.1,4859.8,109,68,17.4,"CAMK2N1(5), NEFL(4), NORAD(4), SOD2(4), TMSB10(4)",Oligodendrocyte,0.046,0.4683,15.6
530,5486.6,4771.5,141,69,18.8,"CAMK2N1(14), MBP(11), KIF5A(10), YWHAH(6), NORAD(4)",Oligodendrocyte,0.106,0.4349,23.4
531,5268.1,5233.5,2520,225,107.9,"KIF5A(118), HSPA8(107), CAMK2N1(100), NORAD(81), YWHAH(78)",Oligodendrocyte,0.031,0.43,20.7
532,5333.1,5537.7,1290,177,57.7,"HSPA8(80), CAMK2N1(61), KIF5A(50), ENC1(47), YWHAH(47)",Oligodendrocyte,0.026,0.4301,12.7
533,5497.2,5758.5,2602,200,122.0,"CAMK2N1(164), HSPA8(122), KIF5A(111), YWHAH(110), LMO4(87)",Oligodendrocyte,0.032,0.4232,34.3
534,5242.7,6158.4,1173,178,75.9,"CAMK2N1(65), HSPA8(50), KIF5A(46), YWHAH(46), MBP(43)",Oligodendrocyte,0.043,0.4306,17.7
535,5286.2,6295.2,1883,197,106.7,"CAMK2N1(112), ENC1(84), YWHAH(83), KIF5A(78), HSPA8(73)",Oligodendrocyte,0.038,0.4244,15.2
536,5424.5,6143.7,2048,203,92.4,"CAMK2N1(122), MBP(93), HSPA8(89), KIF5A(86), ENC1(79)",Oligodendrocyte,0.059,0.435,11.7
537,5309.8,6446.2,356,124,38.1,"MTURN(20), CAMK2N1(19), MBP(17), HSPA8(14), ENC1(13)",Oligodendrocyte,0.056,0.4395,7.6
538,5352.7,6384.5,863,170,59.0,"CAMK2N1(49), KIF5A(43), MBP(43), HSPA8(38), MTURN(34)",Oligodendrocyte,0.056,0.4326,46.1
539,5405.2,6716.9,515,143,46.9,"CAMK2N1(38), MBP(28), ENC1(24), MTURN(24), KIF5A(21)",Oligodendrocyte,0.06,0.4314,19.8
540,5349.5,6510.3,83,47,14.7,"KIF5A(8), NORAD(6), MBP(5), MTURN(5), CCNI(4)",Oligodendrocyte,0.06,0.4155,22.8
541,5359.7,1807.9,1767,194,93.4,"CAMK2N1(159), ENC1(82), KIF5A(66), HSPA8(64), YWHAH(57)",Glutamatergic,0.007,0.4318,20.8
542,5243.1,1877.4,618,129,52.9,"CAMK2N1(60), ENC1(39), NORAD(27), YWHAH(23), KIF5A(21)",GABAergic,0.006,0.4255,7.5
543,5281.7,1918.2,111,61,18.8,"HBA1(13), CAMK2N1(5), A2M(4), EPAS1(4), NORAD(4)",Oligodendrocyte,0.036,0.4614,14.6
544,5446.2,1807.0,294,94,38.4,"CAMK2N1(36), KIF5A(14), ENC1(13), KIF1A(11), NORAD(11)",Glutamatergic,0.014,0.4257,21.5
545,5289.8,2058.8,404,112,38.3,"CAMK2N1(56), KIF5A(26), CCNI(18), ENC1(14), NORAD(13)",Glutamatergic,0.012,0.4303,31.6
546,5361.6,2183.7,158,68,26.9,"CAMK2N1(22), MTURN(7), CABP1(6), HSPA8(6), A2M(5)",Astrocyte,0.013,0.4302,18.1
547,5484.5,2030.5,172,70,18.1,"CAMK2N1(15), NEFL(8), NORAD(8), YWHAH(7), ENC1(6)",Oligodendrocyte,0.023,0.4308,18.1
548,5364.8,2328.8,121,58,17.5,"KIF5A(10), ENC1(9), A2M(5), CAMK2N1(5), HSPA8(5)",Oligodendrocyte,0.025,0.4331,22.5
549,5455.4,2460.5,61,46,14.7,"EPAS1(4), KIF1A(3), NORAD(3), A2M(2), GFAP(2)",Astrocyte,0.033,0.4527,14.8
550,5549.5,370.0,296,98,33.1,"CAMK2N1(25), ENC1(14), HSPA8(14), DKK3(12), OGA(9)",GABAergic,0.034,0.4443,11.9
551,5500.9,2606.0,224,103,27.0,"CAMK2N1(15), YWHAH(13), CCNI(9), MTURN(9), KIF5A(8)",Oligodendrocyte,0.018,0.4475,10.0
552,5581.3,2787.4,53,37,13.7,"TMSB10(5), CAMK2N1(3), CCNI(3), A2M(2), APOLD1(2)",Endothelial,0.038,0.4684,12.0
553,5768.1,2809.0,189,83,24.5,"KIF5A(18), CAMK2N1(15), NEFL(9), A2M(6), MBP(5)",Oligodendrocyte,0.037,0.4432,16.1
554,5601.9,2918.8,2991,228,125.6,"CAMK2N1(205), KIF5A(198), NEFL(137), CCNI(129), NORAD(92)",Oligodendrocyte,0.026,0.4297,12.8
555,5595.7,3066.7,73,49,15.5,"AK5(4), YWHAH(4), CAMK2N1(3), FLT1(3), A2M(2)",Endothelial,0.041,0.4458,13.3
556,5532.3,3090.1,2951,215,126.4,"KIF5A(188), CAMK2N1(166), HSPA8(123), NEFL(110), CCNI(92)",Oligodendrocyte,0.021,0.4336,28.9
557,5631.7,3307.8,961,169,67.6,"KIF5A(59), CAMK2N1(55), NEFL(49), MBP(29), HSPA8(28)",Oligodendrocyte,0.034,0.4291,18.3
558,5504.0,3394.1,2594,225,96.6,"CAMK2N1(150), KIF5A(141), NEFL(119), CCNI(114), NEFM(97)",Oligodendrocyte,0.032,0.4283,25.1
559,5559.0,3360.1,83,52,18.1,"CAMK2N1(8), KIF5A(8), CCNI(4), CABP1(3), CHST1(3)",Oligodendrocyte,0.048,0.4608,8.4
560,5683.8,3529.9,124,66,24.3,"A2M(5), CAMK2N1(5), CCNI(5), EPAS1(5), HSPA8(5)",GABAergic,0.048,0.4739,14.7
561,5622.0,3816.8,127,71,23.2,"CCNI(7), KIF5A(7), VIM(7), CAMK2N1(5), HLA-B(5)",Oligodendrocyte,0.031,0.4548,17.2
562,5632.9,3927.8,57,38,12.9,"A2M(6), HLA-E(3), ITM2A(3), MBP(3), SLC2A1(3)",Oligodendrocyte,0.07,0.49,17.9
563,5520.1,3871.7,40,25,9.1,"CAMK2N1(4), A2M(3), ABCG2(3), KLF2(3), FLT1(2)",Endothelial,0.075,0.4857,16.1
564,5594.6,4071.8,2973,219,152.6,"KIF5A(169), CAMK2N1(151), HSPA8(109), TMSB10(109), NEFL(92)",Oligodendrocyte,0.033,0.4339,3.0
565,5625.5,4272.6,55,35,12.7,"CAMK2N1(5), CABP1(3), DKK3(3), KIF5A(3), MBP(3)",Oligodendrocyte,0.055,0.4273,14.6
566,5525.8,4334.3,1356,184,69.2,"KIF5A(68), CAMK2N1(58), HSPA8(48), NEFL(47), YWHAH(45)",Oligodendrocyte,0.028,0.4322,8.5
567,5693.3,4711.5,1547,198,94.1,"KIF5A(102), CAMK2N1(69), MBP(67), CCNI(55), HSPA8(47)",Oligodendrocyte,0.054,0.4374,7.2
568,5592.7,4680.2,1241,172,70.9,"KIF5A(67), CAMK2N1(59), HSPA8(54), CCNI(44), NEFL(41)",Oligodendrocyte,0.036,0.4296,17.2
569,5684.0,4871.9,502,145,52.9,"CAMK2N1(26), MBP(25), KIF5A(24), NEFL(18), MTURN(13)",Oligodendrocyte,0.058,0.4449,18.1
570,5560.6,5116.5,67,44,15.6,"MTURN(4), OSBPL1A(4), KIF5A(3), MBP(3), NORAD(3)",Oligodendrocyte,0.045,0.4386,13.3
571,5530.7,5258.1,2246,206,106.7,"CAMK2N1(107), KIF5A(107), HSPA8(98), MBP(85), CCNI(80)",Oligodendrocyte,0.041,0.4258,21.4
572,5647.1,5266.9,673,151,42.0,"CAMK2N1(37), HSPA8(35), KIF5A(28), MBP(28), NORAD(23)",Oligodendrocyte,0.049,0.4327,28.1
573,5719.0,5569.5,319,127,41.8,"MBP(16), CAMK2N1(14), HSPA8(13), KIF5A(10), MTURN(10)",Oligodendrocyte,0.053,0.4505,10.6
574,5496.3,5516.6,74,40,14.2,"KIF5A(8), MBP(8), YWHAH(5), CAMK2N1(4), MTURN(4)",Oligodendrocyte,0.122,0.4214,29.4
575,5635.2,5597.4,1090,183,68.2,"KIF5A(49), MBP(49), CAMK2N1(46), HSPA8(43), NEFL(37)",Oligodendrocyte,0.052,0.4371,5.3
576,5689.6,5993.1,75,51,15.0,"KIF5A(5), CLDN5(3), MBP(3), MTURN(3), CAMK2N1(2)",Oligodendrocyte,0.04,0.4493,14.4
577,5512.5,6068.2,1250,193,68.9,"HSPA8(51), MBP(50), CAMK2N1(48), TMSB10(44), ENC1(39)",Oligodendrocyte,0.05,0.4424,10.9
578,5552.6,6220.3,418,120,35.6,"CAMK2N1(34), KIF5A(19), MTURN(18), YWHAH(18), ENC1(15)",Oligodendrocyte,0.036,0.4315,16.5
579,5580.0,6017.5,1270,178,70.9,"CAMK2N1(74), KIF5A(60), HSPA8(56), ENC1(45), MBP(40)",Oligodendrocyte,0.035,0.4328,10.4
580,5665.6,6055.4,924,159,51.2,"HSPA8(44), CAMK2N1(41), KIF5A(38), DKK3(28), ENC1(27)",Oligodendrocyte,0.029,0.431,20.6
581,5605.3,6378.2,588,129,37.3,"CAMK2N1(33), KIF5A(31), MTURN(26), HSPA8(25), MBP(25)",Oligodendrocyte,0.053,0.4302,35.4
582,5678.9,6248.1,135,80,17.8,"NORAD(7), YWHAH(7), HSPA8(5), NEFM(5), CAMK2N1(4)",Astrocyte,0.022,0.4454,9.6
583,5706.1,1780.7,1308,179,82.1,"CAMK2N1(137), ENC1(74), NORAD(53), HSPA8(41), YWHAH(39)",GABAergic,0.011,0.4351,10.4
584,5643.5,1626.1,94,59,16.6,"MTURN(5), CAMK2N1(4), A2M(3), ENC1(3), HLA-E(3)",Astrocyte,0.021,0.4481,18.8
585,5603.0,1741.2,803,146,54.8,"CAMK2N1(108), ENC1(35), KIF5A(34), YWHAH(25), HSPA8(23)",GABAergic,0.025,0.4304,30.3
586,5522.8,1907.8,833,159,54.0,"CAMK2N1(84), KIF5A(41), ENC1(29), NORAD(27), HSPA8(26)",GABAergic,0.008,0.4348,10.7
587,5706.3,2011.5,85,63,18.2,"KIF5A(4), A2M(3), AK5(3), CAMK2N1(3), SESN1(3)",GABAergic,0.024,0.4806,5.6
588,5517.9,2432.1,73,50,16.2,"EPAS1(4), LMO4(4), CCNI(3), CFAP36(3), FLT1(3)",Endothelial,0.068,0.4672,16.9
589,5774.9,2547.6,80,49,17.2,"ABCG2(6), ENC1(5), NEFL(5), CCNI(4), S100A6(3)",Endothelial,0.037,0.4608,14.2
590,5907.1,2700.8,63,45,12.9,"NEFM(5), ENC1(4), KIF5A(4), CAMK2N1(3), CABP1(2)",Astrocyte,0.032,0.4524,15.7
591,5969.5,2733.3,1389,180,90.0,"CAMK2N1(107), KIF5A(85), ENC1(66), NEFL(59), NEFM(52)",Oligodendrocyte,0.012,0.426,5.5
592,5827.8,2914.4,697,156,45.9,"KIF5A(60), CAMK2N1(47), CCNI(30), ENC1(26), NEFL(24)",Oligodendrocyte,0.024,0.4244,12.7
593,5866.0,3025.3,1364,181,84.6,"KIF5A(84), CAMK2N1(76), HSPA8(62), LMO4(54), NEFL(50)",Oligodendrocyte,0.021,0.4268,22.9
594,5849.7,3347.1,292,112,40.2,"CAMK2N1(19), HSPA8(14), CCNI(13), KIF5A(11), NEFL(11)",Oligodendrocyte,0.027,0.4371,27.1
595,5807.4,3392.2,541,145,57.7,"NEFL(33), KIF5A(32), CAMK2N1(27), CCNI(23), HSPA8(17)",Oligodendrocyte,0.033,0.4355,24.8
596,5967.5,3311.1,4098,233,152.8,"KIF5A(248), CAMK2N1(238), CCNI(172), NEFL(164), HSPA8(163)",Oligodendrocyte,0.023,0.4291,17.9
597,5846.5,3964.8,790,148,58.4,"KIF5A(60), CAMK2N1(46), TMSB10(38), HSPA8(34), KIF1A(31)",Oligodendrocyte,0.028,0.4252,23.9
598,5913.1,3985.9,82,55,16.7,"A2M(5), EPAS1(4), CAMK2N1(3), DBNDD2(3), KIF5A(3)",Endothelial,0.061,0.4637,8.8
599,5807.0,4238.1,511,128,40.9,"KIF5A(37), CAMK2N1(27), CCNI(25), TMSB10(25), MBP(21)",Oligodendrocyte,0.051,0.4292,22.8
600,5884.2,4134.7,2224,207,100.3,"HSPA8(114), KIF5A(95), CAMK2N1(89), ENC1(86), KIF1A(73)",Oligodendrocyte,0.024,0.4301,11.5
601,5979.1,4012.7,302,114,39.1,"KIF5A(17), CAMK2N1(15), MBP(13), MTURN(13), NORAD(12)",Oligodendrocyte,0.066,0.4422,12.3
602,5828.4,4071.9,433,134,46.5,"KIF5A(30), CAMK2N1(26), HSPA8(15), CCNI(14), MTURN(14)",Oligodendrocyte,0.03,0.4335,16.0
603,5918.4,4217.0,78,50,15.9,"CCNI(6), KIF5A(5), NPTX1(4), TMSB10(4), DKK3(3)",Oligodendrocyte,0.051,0.4392,17.2
604,5735.7,4088.9,1421,189,102.5,"KIF5A(115), CAMK2N1(60), NEFL(53), HSPA8(50), MBP(50)",Oligodendrocyte,0.044,0.4337,23.1
605,5892.5,4254.3,181,74,27.1,"MBP(24), KIF1A(13), CAMK2N1(9), KIF5A(9), MTURN(9)",Oligodendrocyte,0.144,0.4405,9.4
606,5751.7,4330.7,34,29,8.2,"HSPA8(2), KIF5A(2), NEFL(2), TMSB10(2), YWHAH(2)",Oligodendrocyte,0.059,0.4332,11.5
607,5748.4,4437.7,435,110,38.1,"KIF5A(30), HSPA8(22), MBP(19), CCNI(17), NEFL(16)",Oligodendrocyte,0.046,0.4205,26.0
608,5843.2,4550.1,196,99,24.5,"YWHAH(10), MBP(8), CAMK2N1(7), KIF1A(7), KIF5A(7)",Oligodendrocyte,0.066,0.4565,13.6
609,5844.8,4818.1,661,151,46.6,"KIF5A(36), CAMK2N1(34), HSPA8(28), YWHAH(23), MBP(22)",Oligodendrocyte,0.036,0.4288,10.3
610,5974.1,4952.2,184,76,27.5,"MBP(17), KIF5A(13), CCNI(11), CAMK2N1(9), MTURN(9)",Oligodendrocyte,0.098,0.4307,20.1
611,5892.0,5045.1,500,145,41.4,"KIF5A(24), CCNI(19), CAMK2N1(18), YWHAH(18), DKK3(15)",Oligodendrocyte,0.036,0.4385,15.6
612,5993.8,5009.6,386,118,38.0,"KIF5A(27), YWHAH(22), HSPA8(17), NEFM(16), NEFL(15)",Oligodendrocyte,0.036,0.4297,21.4
613,5941.9,5743.3,1347,185,74.2,"HSPA8(72), KIF5A(61), CAMK2N1(60), MTURN(43), CCNI(39)",Oligodendrocyte,0.024,0.4313,9.5
614,5845.8,5680.8,1404,174,73.1,"CAMK2N1(81), KIF5A(75), HSPA8(69), MBP(49), NORAD(45)",Oligodendrocyte,0.039,0.4299,21.8
615,5976.2,5588.3,2529,217,120.3,"KIF5A(131), CAMK2N1(111), MBP(103), HSPA8(90), MTURN(90)",Oligodendrocyte,0.044,0.4296,7.5
616,5985.7,5872.2,68,46,15.0,"CAMK2N1(7), MBP(4), CX3CR1(3), YWHAH(3), C14orf132(2)",Oligodendrocyte,0.059,0.445,18.1
617,5731.8,6129.2,2873,224,130.0,"CAMK2N1(148), HSPA8(134), KIF5A(130), MBP(123), MTURN(100)",Oligodendrocyte,0.051,0.4335,20.5
618,5789.3,6489.8,853,149,58.3,"CAMK2N1(49), ENC1(38), MTURN(36), NEFL(35), YWHAH(35)",Oligodendrocyte,0.035,0.4237,12.6
619,5850.1,6342.1,200,75,30.5,"CAMK2N1(18), MBP(12), CCNI(11), KIF1A(11), YWHAH(10)",Oligodendrocyte,0.06,0.4208,21.3
620,5765.3,6626.7,172,79,18.6,"MBP(13), CAMK2N1(11), KIF5A(9), ENC1(8), MTURN(8)",Oligodendrocyte,0.081,0.4275,19.7
621,6074.6,6781.9,22041,283,305.5,"CAMK2N1(1079), KIF5A(1000), HSPA8(848), YWHAH(795), NEFL(736)",Oligodendrocyte,0.036,0.4389,16.4
622,5805.9,6742.5,230,105,32.5,"KIF5A(12), CAMK2N1(11), CCNI(10), HSPA8(8), NEFL(8)",Oligodendrocyte,0.03,0.4387,11.3
623,5884.6,1657.9,66,49,12.4,"CCNI(3), DKK3(3), HPCAL1(3), CYP46A1(2), ENC1(2)",GABAergic,0.015,0.4476,11.7
624,5810.3,1528.1,47,38,12.1,"ABCG2(3), HLA-E(3), ABCA2(2), CCNI(2), MTURN(2)",Oligodendrocyte,0.064,0.4944,31.2
625,5902.2,1644.9,37,30,10.9,"A2M(4), CCNI(2), CNN3(2), HLA-DRB1(2), HLA-E(2)",Oligodendrocyte,0.027,0.4813,18.6
626,5942.7,1812.5,3131,211,150.9,"CAMK2N1(300), ENC1(163), KIF5A(138), HSPA8(112), YWHAH(103)",GABAergic,0.01,0.4323,17.6
627,5936.3,1777.9,200,79,20.5,"CAMK2N1(20), KIF1A(9), DKK3(8), HSPA8(8), CCNI(7)",GABAergic,0.02,0.4379,17.6
628,5835.5,1795.8,225,78,26.2,"CAMK2N1(27), KIF5A(12), YWHAH(11), ENC1(10), HSPA8(6)",Oligodendrocyte,0.009,0.4282,26.7
629,5868.3,1844.8,56,42,12.8,"EPAS1(3), HLA-E(3), APOLD1(2), CLDN5(2), ENC1(2)",Endothelial,0.054,0.4694,20.2
630,5768.7,1994.7,595,137,68.7,"CAMK2N1(67), KIF5A(31), CCNI(26), NORAD(20), MTURN(19)",GABAergic,0.013,0.4337,17.6
631,5986.3,2376.5,223,93,30.8,"CAMK2N1(22), KIF5A(14), LMO4(9), MTURN(9), NORAD(9)",GABAergic,0.009,0.431,17.7
632,5783.9,2365.7,162,72,25.2,"CAMK2N1(13), KIF5A(12), NORAD(12), CCNI(11), MTURN(10)",Glutamatergic,0.012,0.4187,19.4
633,6037.5,2851.7,491,111,47.6,"CAMK2N1(31), KIF5A(28), NEFL(23), ENC1(22), YWHAH(20)",Astrocyte,0.02,0.4225,18.4
634,6183.5,2901.2,934,168,52.9,"CAMK2N1(54), KIF5A(50), NEFL(39), NORAD(38), ENC1(33)",Oligodendrocyte,0.018,0.431,14.9
635,6144.5,2981.2,1076,180,76.3,"KIF5A(87), CAMK2N1(67), NEFL(52), CCNI(42), HSPA8(40)",Oligodendrocyte,0.021,0.4275,22.4
636,6226.3,3051.7,1775,194,103.4,"CAMK2N1(134), KIF5A(123), NEFL(70), CCNI(68), NORAD(68)",Oligodendrocyte,0.033,0.4264,18.3
637,6131.6,3187.1,72,49,13.7,"KIF5A(5), CCNI(4), HSPA8(4), YWHAH(4), CAMK2N1(3)",Endothelial,0.028,0.4424,14.3
638,6193.2,3193.8,609,134,47.5,"KIF5A(52), CAMK2N1(41), NEFL(24), YWHAH(24), NORAD(22)",Oligodendrocyte,0.031,0.4204,23.9
639,6121.9,3088.1,1790,197,101.8,"CAMK2N1(145), KIF5A(128), NEFL(87), CCNI(79), NEFM(54)",Oligodendrocyte,0.026,0.4256,12.5
640,6080.9,3293.2,379,116,45.9,"CAMK2N1(26), KIF5A(22), CCNI(14), HSPA8(14), KIF1A(14)",Oligodendrocyte,0.026,0.4333,17.0
641,6190.7,3377.8,66,37,14.5,"KIF5A(8), CAMK2N1(4), EPAS1(4), HLA-B(4), HSPA8(4)",Endothelial,0.045,0.4482,10.9
642,6204.2,3558.6,1878,200,114.2,"KIF5A(133), CAMK2N1(115), NEFL(83), CCNI(78), HSPA8(71)",Oligodendrocyte,0.04,0.4265,6.8
643,6113.8,3646.0,1111,179,82.3,"KIF5A(82), CAMK2N1(75), CCNI(50), NEFL(44), KIF1A(39)",Oligodendrocyte,0.033,0.4337,9.9
644,6144.4,3924.3,358,106,27.8,"CAMK2N1(22), HSPA8(22), KIF5A(17), CCNI(13), NEFM(11)",GABAergic,0.042,0.4365,24.8
645,6075.4,3977.7,433,141,46.6,"CAMK2N1(32), CCNI(22), KIF5A(22), NORAD(12), TMSB10(12)",Oligodendrocyte,0.037,0.4431,11.5
646,6156.9,4085.8,2981,224,180.3,"KIF5A(196), CAMK2N1(133), CCNI(107), MTURN(103), NEFL(103)",Oligodendrocyte,0.033,0.4314,23.6
647,6198.2,4231.4,971,176,52.8,"KIF5A(57), CAMK2N1(44), MBP(41), CCNI(35), KIF1A(35)",Oligodendrocyte,0.049,0.4348,17.5
648,6129.2,4149.5,332,115,28.7,"KIF5A(22), DKK3(15), HSPA8(12), TMSB10(12), CCNI(11)",Oligodendrocyte,0.033,0.4307,28.7
649,6319.2,4348.0,2067,195,102.0,"KIF5A(122), CAMK2N1(106), NEFL(81), CCNI(74), YWHAH(69)",Oligodendrocyte,0.037,0.4269,15.7
650,6175.7,4423.8,721,154,68.6,"KIF5A(49), CAMK2N1(36), NEFL(27), NEFM(25), CCNI(24)",Oligodendrocyte,0.033,0.4358,34.8
651,6065.1,4629.1,674,152,58.9,"KIF5A(49), MBP(35), CAMK2N1(31), CCNI(31), YWHAH(26)",Oligodendrocyte,0.058,0.4302,17.1
652,6020.1,4914.2,518,132,38.9,"CAMK2N1(37), KIF5A(36), HSPA8(19), CCNI(16), MBP(16)",Oligodendrocyte,0.039,0.4347,16.2
653,6121.8,4753.0,255,87,33.6,"CAMK2N1(18), CCNI(12), KIF5A(11), MBP(11), MTURN(11)",Oligodendrocyte,0.043,0.4255,22.7
654,6146.5,4981.0,193,85,27.2,"MBP(14), CAMK2N1(11), KIF5A(11), MTURN(9), HSPA8(6)",Oligodendrocyte,0.078,0.4401,23.4
655,6155.1,4841.9,112,66,18.4,"KIF5A(7), MBP(6), TNK2(5), CNP(4), CAMK2N1(3)",Oligodendrocyte,0.089,0.4846,9.7
656,6215.7,4826.7,444,127,39.0,"KIF5A(23), CAMK2N1(22), HSPA8(20), NEFL(17), NEFM(14)",Oligodendrocyte,0.027,0.4318,15.6
657,6209.5,4983.8,96,63,16.9,"MBP(5), KIF5A(4), NTRK2(4), RPL36AL(4), CAMK2N1(3)",Oligodendrocyte,0.062,0.4635,14.4
658,6111.8,5035.4,132,72,23.2,"DIRAS2(7), HSPA8(6), MBP(6), CAMK2N1(5), KIF5A(5)",Oligodendrocyte,0.045,0.4397,9.7
659,6181.5,5431.8,1012,166,74.5,"KIF5A(71), MBP(56), CAMK2N1(47), MTURN(46), NEFL(39)",Oligodendrocyte,0.063,0.4322,22.0
660,6050.9,5563.2,523,129,45.8,"MBP(31), KIF5A(27), LMO4(25), CAMK2N1(20), CCNI(19)",Oligodendrocyte,0.059,0.4216,5.6
661,6161.6,5762.4,174,88,30.4,"KIF5A(17), CAMK2N1(10), MTURN(8), KIF1A(6), CCNI(5)",Oligodendrocyte,0.046,0.4474,25.2
662,6199.5,5812.6,697,152,51.4,"CAMK2N1(42), KIF5A(34), HSPA8(32), YWHAH(25), CCNI(24)",Oligodendrocyte,0.032,0.432,16.2
663,6004.0,6219.0,245,113,35.7,"KIF5A(12), CCNI(11), KIF1A(10), MTURN(8), MBP(7)",Oligodendrocyte,0.049,0.4567,21.4
664,6118.1,6056.9,286,103,30.7,"MBP(16), CAMK2N1(15), KIF5A(13), MTURN(12), NORAD(12)",Oligodendrocyte,0.077,0.4337,26.9
665,6122.6,6164.2,214,95,32.3,"KIF5A(14), MBP(13), CAMK2N1(12), MTURN(12), KIF1A(9)",Oligodendrocyte,0.084,0.4463,22.3
666,6134.6,6112.2,311,103,37.4,"CAMK2N1(21), KIF5A(14), CCNI(13), MBP(12), NEFL(12)",Oligodendrocyte,0.042,0.4295,22.0
667,6149.6,1827.6,271,104,33.0,"CAMK2N1(26), ENC1(14), KIF5A(13), CCNI(9), LMO4(9)",Astrocyte,0.015,0.4361,17.6
668,6173.1,1932.1,3858,233,149.3,"CAMK2N1(356), ENC1(184), KIF5A(152), HSPA8(147), YWHAH(145)",GABAergic,0.016,0.4308,7.8
669,6216.2,1785.3,105,53,17.8,"CAMK2N1(10), HPCAL1(6), HSPA8(5), AK5(4), ATP2B4(4)",GABAergic,0.029,0.4329,15.0
670,6119.4,2421.7,179,86,27.1,"CAMK2N1(25), KIF5A(11), YWHAH(7), HSPA8(6), S100A6(6)",Glutamatergic,0.017,0.44,8.2
671,6150.1,2405.5,289,103,37.6,"CAMK2N1(32), KIF5A(22), ENC1(15), CCNI(14), KIF1A(10)",Oligodendrocyte,0.031,0.4219,3.8
672,6169.3,2492.2,270,94,30.7,"CAMK2N1(23), KIF5A(20), NEFM(13), TMSB10(11), YWHAH(11)",Astrocyte,0.015,0.4313,17.4
673,6211.5,2408.1,642,148,55.4,"CAMK2N1(59), ENC1(30), KIF5A(29), NEFL(28), HSPA8(20)",Oligodendrocyte,0.019,0.4362,9.8
674,6427.5,2647.9,1041,163,52.9,"CAMK2N1(73), HSPA8(52), NEFL(48), YWHAH(46), KIF5A(45)",Oligodendrocyte,0.012,0.4273,34.3
675,6304.3,2640.0,274,89,32.1,"CAMK2N1(26), KIF5A(21), CCNI(13), ENC1(10), NEFL(10)",Oligodendrocyte,0.022,0.4253,23.1
676,6430.7,2830.9,62,46,14.5,"CNN3(3), HSPA8(3), NORAD(3), VIM(3), A2M(2)",Astrocyte,0.048,0.4548,13.8
677,6436.0,2919.1,52,30,12.5,"CAMK2N1(7), KIF5A(4), A2M(3), SLC2A1(3), VIM(3)",Astrocyte,0.038,0.446,11.2
678,6304.0,2944.0,156,76,20.2,"KIF5A(16), CAMK2N1(11), CCNI(6), NORAD(6), ENC1(5)",Microglia,0.038,0.4429,12.7
679,6343.8,2999.4,1016,167,68.1,"CAMK2N1(71), KIF5A(67), NEFL(37), CCNI(33), ENC1(30)",Astrocyte,0.037,0.4354,17.7
680,6246.0,3155.6,474,117,40.5,"KIF5A(41), CAMK2N1(29), HSPA8(19), NORAD(19), CCNI(15)",Oligodendrocyte,0.025,0.4278,13.3
681,6336.8,3113.3,668,147,52.7,"CAMK2N1(52), KIF5A(38), CCNI(31), KIF1A(28), NEFL(23)",Oligodendrocyte,0.033,0.4388,19.8
682,6412.4,3395.2,1243,190,76.3,"KIF5A(70), CAMK2N1(68), HSPA8(52), NEFL(45), LMO4(39)",Oligodendrocyte,0.031,0.4372,10.4
683,6478.2,3321.6,116,68,21.8,"CAMK2N1(8), KIF5A(5), CCNI(4), CNP(4), HLA-E(4)",Oligodendrocyte,0.043,0.4658,20.6
684,6334.1,3714.8,334,114,30.7,"HSPA8(17), DKK3(14), CAMK2N1(13), NEFL(12), NEFM(12)",Oligodendrocyte,0.018,0.4388,20.3
685,6535.5,3748.8,909,151,72.2,"CAMK2N1(80), KIF5A(67), MBP(39), NEFL(32), LMO4(30)",Oligodendrocyte,0.046,0.4229,6.8
686,6473.2,3660.8,461,123,36.8,"KIF5A(32), CAMK2N1(20), HSPA8(19), NEFL(19), NEFM(19)",Oligodendrocyte,0.013,0.4263,28.5
687,6306.3,3835.3,141,77,18.8,"ENC1(7), KIF5A(6), NEFL(6), A2M(5), CAMK2N1(5)",Oligodendrocyte,0.028,0.4471,24.2
688,6423.0,4150.3,304,99,32.5,"CAMK2N1(17), DKK3(15), CCNI(14), KIF5A(13), NORAD(12)",Oligodendrocyte,0.03,0.4432,24.6
689,6315.9,4045.7,1491,196,86.5,"KIF5A(100), CAMK2N1(88), HSPA8(57), NORAD(47), MBP(46)",Oligodendrocyte,0.037,0.4335,12.8
690,6480.2,4141.0,131,76,22.7,"CCNI(10), CAMK2N1(7), NORAD(5), GAD1(4), KCNK1(4)",GABAergic,0.038,0.4523,10.6
