gene,n_types,in_5k
COL21A1,3,False
KIRREL3,3,False
EPHA6,3,False
CHRNA7,3,True
NCAM2,3,False
PIP4K2A,3,True
DSCAM,3,False
TNR,3,True
DOCK8,3,False
TIAM1,3,True
CACNA2D3,3,False
UNC5D,3,False
CDH10,3,False
HS3ST5,3,True
SV2C,3,True
FREM1,3,True
GRIN2A,3,False
AC132803.1,3,False
TRPC3,3,True
SLC6A1,3,True
FBXL7,3,False
MARCH1,3,False
PCSK5,3,False
KIAA1217,3,False
PDE3A,3,True
SORBS2,3,False
LINC02296,3,False
LINC01378,3,False
CA10,3,True
ITPR2,3,False
IQCJ-SCHIP1,3,False
KCNQ5,3,False
CSMD1,3,False
CTNND2,3,True
RORA,3,False
LAMA3,3,True
LRRTM4,3,False
MIR99AHG,3,False
GALNTL6,3,False
CPNE4,3,False
AC073091.3,3,False
CADPS2,3,False
FOXP2,3,True
PHACTR2,3,False
DCC,3,False
ARHGEF4,2,False
FRAS1,2,True
SLC22A3,2,False
AL117329.1,2,False
NECTIN3,2,True
CACNA2D1,2,True
PLCXD3,2,False
KCNMB2,2,False
IQGAP2,2,True
LINC02822,2,False
PTPRT,2,False
PCDH7,2,False
CA8,2,False
NR2F2-AS1,2,False
SGCD,2,False
AC060765.2,2,False
UNC13C,2,False
EPS8,2,False
CNTNAP5,2,False
KMO,2,True
SRRM4,2,False
R3HDM1,2,True
PDE4B,2,True
SNTG1,2,False
EPN2,2,False
XYLT1,2,False
PLCB1,2,True
AC046195.1,2,False
LHFPL3,2,False
LRP8,2,False
PHLPP1,2,True
AC046195.2,2,False
LINC02306,2,False
NPY,2,False
NELL1,2,True
CCNH,2,False
TRPS1,2,True
PAM,2,True
SORL1,2,True
SRGAP2,2,False
MEF2A,2,True
DOCK4,2,False
PLXDC2,2,False
TMEM132D,2,False
WWP1,2,True
ARL15,2,False
FBN2,2,False
SLC38A11,2,False
PDZRN4,2,False
ARPP21,2,False
SCHLAP1,2,False
ZMAT4,2,False
FER1L6-AS2,2,False
KLF12,2,True
MDGA2,2,False
AC034268.2,2,False
SEC24D,2,False
AC073365.1,2,False
ERG,2,True
KCNN2,2,False
AC090578.1,2,False
GRM8,2,False
RALYL,2,False
ATP1A2,2,False
ESRRG,2,True
EYS,2,False
TENM3,2,False
AC110023.1,2,False
SEMA3D,2,True
TRMT9B,2,False
LINC00299,2,False
GABRG3,2,True
CLSTN2,2,False
SLC1A3,2,True
GALNT13,2,False
LINC02232,2,False
CCNG2,2,False
TOX,2,True
PDE4D,2,False
TAC3,2,True
ANO4,2,False
AL136114.1,2,False
ZBTB20,2,False
RGS5,2,True
AHCYL2,2,False
KCTD8,2,False
AC067956.1,2,False
CHRM2,2,True
NETO1,2,True
SLC35F3,2,False
AC019211.1,2,False
RGS12,2,False
KCTD16,2,False
TMEFF2,2,True
NR3C2,2,True
SHISA6,2,False
ZNF804A,2,True
COL19A1,2,False
TMTC2,2,False
CHSY3,1,False
MTUS2,1,False
SMOC1,1,True
SCG2,1,True
RUNX2,1,True
CNTNAP3,1,True
SEMA3C,1,True
NOS1,1,True
FRMD5,1,False
CNTN4,1,False
NXPH1,1,False
SGO1-AS1,1,False
LUZP2,1,False
MIR4300HG,1,False
LINC01470,1,False
SVIL,1,True
PRR16,1,False
ADAMTS9-AS2,1,False
ABI3BP,1,True
AL356124.1,1,False
FIGN,1,False
DPP6,1,False
C8orf34,1,False
MAGI3,1,True
AC006305.1,1,False
PARD3,1,True
IGF1,1,True
PLXNA4,1,False
ARHGAP18,1,False
PRKCA,1,True
PTH2R,1,True
AC092422.1,1,False
GRM7,1,True
NKAIN2,1,False
WLS,1,False
MGAT4C,1,False
MAN1A1,1,True
EYA2,1,False
FAM126A,1,False
DMD,1,True
EDIL3,1,True
GPHN,1,True
MAP3K5,1,True
CALB1,1,True
TAFA2,1,False
CRYBG3,1,True
COLEC12,1,True
ALCAM,1,True
ABCA9,1,False
NTRK3,1,False
SLC19A1,1,True
EBF1,1,True
AL589693.1,1,False
IGFBP7,1,False
CADM2,1,False
PTPRE,1,False
AC013265.1,1,False
CALD1,1,False
MYO1B,1,True
LHFPL6,1,False
PTEN,1,True
CALB2,1,True
LINC01322,1,False
PTPRO,1,False
SMARCA2,1,True
MPPED2,1,True
AL356108.1,1,False
TMTC1,1,False
DACH2,1,True
BRINP1,1,True
GULP1,1,False
GPR158,1,True
CADPS,1,False
EPB41L4A,1,False
KCND2,1,False
BACH2,1,True
PEX5L,1,False
SEZ6,1,False
MYRIP,1,False
CDH13,1,True
ADAMTS6,1,False
GPR149,1,True
RERG,1,True
LINGO2,1,True
AUTS2,1,False
L3MBTL4,1,False
HTR1E,1,True
NAV2,1,True
B4GALT6,1,False
DAPK1,1,True
PRKG2,1,False
ST6GALNAC5,1,False
PCDH11X,1,True
AC016766.1,1,False
PALM2-AKAP2,1,False
CACNB2,1,False
LRRC3B,1,True
NEAT1,1,False
KHDRBS2,1,False
DACH1,1,True
IPCEF1,1,False
AC016687.2,1,False
AC073578.2,1,False
LINC02196,1,False
LINC00326,1,False
CABP1,1,False
CHST8,1,True
VAT1L,1,False
DGKH,1,False
PTCHD1-AS,1,False
ONECUT1,1,False
LINC01821,1,False
PTPRD,1,False
RMST,1,False
EFNA5,1,False
AC099517.1,1,False
OPCML,1,False
SLC22A10,1,False
KCNH7,1,False
AC091078.1,1,False
SNTB1,1,False
CUX1,1,False
NAV3,1,False
MPP7,1,True
KCNB2,1,False
NPSR1,1,True
SEMA5B,1,False
GHR,1,True
DIRAS2,1,False
PRUNE2,1,False
RYR2,1,False
AL445207.1,1,False
AC021134.1,1,False
TRABD2A,1,False
LINC01725,1,False
NECAB1,1,False
XKR4,1,False
A2M,1,False
ATP10A,1,False
ABCB1,1,True
TNIK,1,False
ZNRF3,1,False
MSI2,1,True
WDR49,1,False
SLC38A1,1,False
DCLK2,1,False
AC012405.1,1,False
GFAP,1,False
NKAIN3,1,False
LINC00609,1,False
COL5A3,1,False
PREX2,1,False
LINC00499,1,False
SLC7A1,1,False
ESYT2,1,False
ATRNL1,1,False
ST6GALNAC3,1,False
RFX3,1,False
HS6ST3,1,False
AC008696.2,1,False
AC013287.1,1,False
HOPX,1,True
AL157944.1,1,False
SERPINE2,1,False
AC008574.1,1,False
AP000829.1,1,False
PSD3,1,True
MOXD1,1,False
ACVR1C,1,False
AC021613.1,1,False
LINC01250,1,False
SLC7A5,1,True
ITGA11,1,False
CACNA1E,1,False
ZNF804B,1,False
KLHL29,1,False
TRIM2,1,False
ERBIN,1,False
TTLL7,1,False
CREB5,1,True
DOCK5,1,False
IL1RAPL1,1,False
ENPP2,1,True
KCNH8,1,False
MAP7,1,True
TF,1,False
AC004852.2,1,False
NOVA1,1,False
OPHN1,1,False
TMEM163,1,False
CRB1,1,False
PTGDS,1,False
HMBOX1,1,False
AC092691.1,1,False
RASGEF1B,1,False
RPS6KA2,1,False
ELAVL2,1,False
CSMD3,1,False
GRIP1,1,False
SPARCL1,1,False
KLF3-AS1,1,False
SOX5,1,True
ANOS1,1,False
NDST3,1,False
PRKG1,1,False
MAML3,1,False
EEPD1,1,False
ARHGAP6,1,False
PCLO,1,False
YJEFN3,1,True
FYN,1,True
TNS3,1,False
GPR17,1,True
BCAS1,1,False
DPP4,1,True
EPHA5,1,False
ADD3-AS1,1,False
MIR137HG,1,False
HCRTR2,1,True
SDK2,1,True
AL391117.1,1,False
MCTP1,1,False
SYN3,1,False
MYO1D,1,True
PTPRK,1,False
AC093607.1,1,False
LSAMP,1,False
PDE1A,1,False
ITGB8,1,False
NRXN1,1,False
CELF2,1,False
STXBP5,1,True
STARD13,1,False
INPP5D,1,True
SYNDIG1,1,False
SFMBT2,1,False
SELENOP,1,False
MBNL1,1,True
DISC1,1,True
MRC1,1,True
AC022126.1,1,False
GRIA4,1,False
CHST9,1,False
NEBL,1,True
MACROD2,1,False
NFIB,1,False
ARSJ,1,False
ANKS1B,1,False
